start_time,end_time,start_balance,end_balance,real_pnl,tracked_pnl,pnl_drift,trades,wins,losses,win_rate,avg_entry_price,avg_edge,avg_delta
2026-05-15 21:34:57,2026-05-15 21:44:37,30.2,30.2,0.0,15.23,-15.23,58,30,28,51.7,0.0,0.0,0.0
2026-05-15 21:44:40,2026-05-15 21:46:47,30.2,30.2,0.0,15.23,-15.23,58,30,28,51.7,0.0,0.0,0.0
2026-05-15 21:50:20,2026-05-15 21:59:07,30.2,30.2,0.0,15.23,-15.23,58,30,28,51.7,0.0,0.0,0.0
2026-05-15 22:04:36,2026-05-15 22:33:27,30.2,20.85,-9.35,5.88,-15.23,59,30,29,50.8,0.51,0.51,0.0
2026-05-15 22:33:30,2026-05-15 23:47:23,20.85,70.25,49.4,-9.8,59.2,63,31,32,49.2,0.5233,0.5233,0.0
2026-05-15 23:47:27,2026-05-16 12:17:09,70.25,51.21,-19.04,-28.84,9.8,72,34,38,47.2,0.5825,0.5825,0.0
2026-05-16 12:17:13,2026-05-16 13:42:45,51.21,35.62,-15.6,-44.17,28.57,76,35,41,46.1,0.5915,0.5915,0.0
2026-05-16 13:42:50,2026-05-16 13:53:49,35.62,35.62,0.0,-44.17,44.17,76,35,41,46.1,0.0,0.0,0.0
2026-05-16 13:53:52,2026-05-16 17:38:03,35.62,18.6,-17.01,-73.45,56.44,82,36,46,43.9,0.0,0.0,0.0
2026-05-16 18:07:26,2026-05-17 10:57:48,44.79,24.79,-20.0,-93.45,73.45,84,36,48,42.9,0.0,0.0,0.0
2026-05-17 10:57:51,2026-05-17 14:31:22,24.79,23.83,-0.96,-94.41,93.45,89,38,51,42.7,0.0,0.0,0.0
2026-05-17 14:31:26,2026-05-17 16:27:33,23.83,37.29,13.46,-70.95,84.41,96,43,53,44.8,0.5198,0.5198,0.0
2026-05-17 16:27:36,2026-05-17 18:16:54,18.6,26.16,7.56,-101.98,109.53,109,48,61,44.0,0.4627,0.4627,0.0
2026-05-17 18:17:18,2026-05-18 06:34:11,26.65,94.22,67.57,-34.41,101.98,128,59,69,46.1,0.4515,0.4515,0.0
